"scientificName","decimalLatitude","decimalLongitude","genericName"
"Halichoerus grypus (Fabricius, 1791)",53.2,4.8,"Halichoerus"
"Lepus europaeus Pallas, 1778",53.2,7.15,"Lepus"
"Vulpes vulpes (Linnaeus, 1758)",52.3,4.55,"Vulpes"
"Vulpes vulpes (Linnaeus, 1758)",50.8,5.85,"Vulpes"
"Lepus europaeus Pallas, 1778",52.55,5,"Lepus"
"Rattus norvegicus (Berkenhout, 1769)",51.7,4.4,"Rattus"
"Sus scrofa Linnaeus, 1758",51.15,6.1,"Sus"
"Equus caballus Linnaeus, 1758",52.4,5.35,"Equus"
"Lepus europaeus Pallas, 1778",51.9,4.65,"Lepus"
"Vulpes vulpes (Linnaeus, 1758)",52.35,5.15,"Vulpes"
"Rattus norvegicus (Berkenhout, 1769)",52.5,6.05,"Rattus"
"Capreolus capreolus (Linnaeus, 1758)",52.45,5.4,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",51.4,5.25,"Capreolus"
"Felis catus Linnaeus, 1758",53.4,5.4,"Felis"
"Capreolus capreolus (Linnaeus, 1758)",51.95,6,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",52.15,4.35,"Capreolus"
"Lepus europaeus Pallas, 1778",52.15,5.6,"Lepus"
"Capreolus capreolus (Linnaeus, 1758)",51.7,4.75,"Capreolus"
"Phoca vitulina Linnaeus, 1758",51.7,3.8,"Phoca"
"Lepus europaeus Pallas, 1778",52,6.7,"Lepus"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.9,4.25,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",51.6,5.45,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",52.95,6,"Capreolus"
"Talpa europaea Linnaeus, 1758",53.35,6.45,"Talpa"
"Vulpes vulpes (Linnaeus, 1758)",51.25,3.95,"Vulpes"
"Talpa europaea Linnaeus, 1758",51.7,4.7,"Talpa"
"Sus scrofa Linnaeus, 1758",51.15,6.1,"Sus"
"Capreolus capreolus (Linnaeus, 1758)",52.35,5.3,"Capreolus"
"Lepus europaeus Pallas, 1778",51.7,5.75,"Lepus"
"Lepus europaeus Pallas, 1778",51.6,4.6,"Lepus"
"Phoca vitulina Linnaeus, 1758",51.35,4,"Phoca"
"Capreolus capreolus (Linnaeus, 1758)",51.45,3.5,"Capreolus"
"Lutra lutra (Linnaeus, 1758)",52.4,5.55,"Lutra"
"Capreolus capreolus (Linnaeus, 1758)",51.65,4.85,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",51.65,5.2,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",51.7,5.75,"Capreolus"
"Lepus europaeus Pallas, 1778",52.2,6.6,"Lepus"
"Phoca vitulina Linnaeus, 1758",52.45,4.5,"Phoca"
"Capreolus capreolus (Linnaeus, 1758)",51.25,3.95,"Capreolus"
"Vulpes vulpes (Linnaeus, 1758)",52.45,4.55,"Vulpes"
"Lepus europaeus Pallas, 1778",53.05,4.75,"Lepus"
"Capreolus capreolus (Linnaeus, 1758)",51.8,4,"Capreolus"
"Lepus europaeus Pallas, 1778",52.35,4.7,"Lepus"
"Lutra lutra (Linnaeus, 1758)",51.8,5.95,"Lutra"
"Phoca vitulina Linnaeus, 1758",52.45,4.5,"Phoca"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.85,4.2,"Oryctolagus"
"Halichoerus grypus (Fabricius, 1791)",51.7,3.8,"Halichoerus"
"Mus musculus Linnaeus, 1758",51.55,5.05,"Mus"
"Oryctolagus cuniculus (Linnaeus, 1758)",52.4,4.55,"Oryctolagus"
"Lepus europaeus Pallas, 1778",51.75,5.35,"Lepus"
"Capreolus capreolus (Linnaeus, 1758)",51.55,5.95,"Capreolus"
"Phoca vitulina Linnaeus, 1758",51.4,3.55,"Phoca"
"Oryctolagus cuniculus (Linnaeus, 1758)",52.2,6.95,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",52.8,6.4,"Capreolus"
